# submitted_item	validated_id	current_symbol
x	FBgn0020337	anon-65Ba
spen	FBgn0016977	spen
CG13692	FBgn0031254	CG13692
CG2789	FBgn0031263	Tspo
lectin-21Ca	FBgn0040107	lectin-21Ca
CG2839	FBgn0031273	CG2839
CG12506	FBgn0031276	CG12506
CG13946	FBgn0040725	CG13946
CG13947	FBgn0031277	CG13947
CR44060	FBgn0264869	lncRNA:CR44060
Lsp1beta	FBgn0002563	Lsp1beta
CG14340	FBgn0031302	CG14340
CG42329	FBgn0259229	CG42329
CG43402	FBgn0263321	CG43402
haf	FBgn0261509	haf
CG17646	FBgn0264494	CG17646
Nplp4	FBgn0040717	Nplp4
GlyP	FBgn0004507	GlyP
CG17234	FBgn0042187	CG17234
CG15394	FBgn0250835	CG15394
CG15395	FBgn0031440	CG15395
CG43403	FBgn0263322	CG43403
CG31689	FBgn0031449	CG31689
daw	FBgn0031461	daw
CG17265	FBgn0031488	Ccdc85
v(2)k05816	FBgn0042627	FASN2
CG3523	FBgn0283427	FASN1
CG15406	FBgn0031517	CG15406
CG15408,CG3285	unknown ID	-
CG2772	FBgn0031533	CG2772
CR43928	FBgn0264549	lncRNA:CR43928
Thor	FBgn0261560	Thor
CG42464	FBgn0259954	CG42464
CG42465,Sfp24C1	unknown ID	-
CG42467	FBgn0259957	CG42467
CG43145	FBgn0262621	CG43145
CR44076	FBgn0264885	lncRNA:CR44076
CG34176	FBgn0085205	CG34176
CG43773	FBgn0264295	CG43773
CG43774	FBgn0264296	CG43774
Sr-CI	FBgn0014033	Sr-CI
CG43055	FBgn0262357	CG43055
CG43056	FBgn0262358	CG43056
CG15434	FBgn0040705	ND-B8
CG15436,CG17840	unknown ID	-
CG15635	FBgn0031617	CG15635
CG43798	FBgn0264342	CG43798
CG15629	FBgn0031630	CG15629
CG15628	FBgn0031632	CG15628
Cg25C	FBgn0000299	Col4a1
CG5828	FBgn0031682	CG5828
Cyp28d1	FBgn0031689	Cyp28d1
TpnC25D	FBgn0031692	TpnC25D
vri	FBgn0016076	vri
CG31915	FBgn0051915	CG31915
CG34011	FBgn0054011	CG34011
CG43307	FBgn0262999	CG43307
CG43185	FBgn0262814	CG43185
CG9044,Gpdh	unknown ID	-
Ugt37b1	FBgn0026755	Ugt37B1
CG9486	FBgn0031791	AANATL2
Cpr	FBgn0015623	Cpr
CG9505	FBgn0031805	Nepl4
CG34345	FBgn0085374	CG34345
CG11236	FBgn0031860	Daao2
CG13779	FBgn0266666	Sem1
Wnt6	FBgn0031902	Wnt6
CG5261	FBgn0283658	muc
Cyp4d21	FBgn0031925	Cyp4d21
CG6739	FBgn0031926	CG6739
Myo28B1	FBgn0040299	Myo28B1
lectin-28C	FBgn0040099	lectin-28C
CG34132	FBgn0083968	CG34132
CG7231	FBgn0031968	CG7231
CG7224	FBgn0031971	Sirup
Piezo,fos28F	unknown ID	-
CG14277	FBgn0032008	CG14277
CG14275	FBgn0032022	CG14275
CG14273	FBgn0032024	CG14273
CG7778	FBgn0032025	CG7778
Mur29B	FBgn0051901	Mur29B
CG17292	FBgn0032029	CG17292
CG13384	FBgn0032036	CG13384
CG13089,CG13090	unknown ID	-
Glt	FBgn0001114	Glt
Tsp29Fa	FBgn0032074	Tsp29Fa
CG32985	FBgn0052985	CG32985
CG18088	FBgn0032082	CG18088
CG9555	FBgn0032085	CG9555
CG17906	FBgn0032086	CG17906
CG13102	FBgn0032088	CG13102
CG43350	FBgn0263082	CG43350
CG43404	FBgn0263323	lncRNA:CR43404
CG31883	FBgn0032122	CG31883
zf30C	FBgn0270924	zf30C
CG17633	FBgn0032144	CG17633
CG4658	FBgn0032170	CG4658
obst-B	FBgn0027600	obst-B
CG33301	FBgn0053301	CG33301
LM408	FBgn0027611	LManII
RluA-2	FBgn0032256	RluA-2
CG18302	FBgn0032266	CG18302
CG31872	FBgn0051872	CG31872
CG18284	FBgn0043825	CG18284
CG17097	FBgn0265264	CG17097
CG6495	FBgn0027550	CG6495
Acp32CD	FBgn0023415	Acp32CD
l(2)gd1	FBgn0261983	l(2)gd1
l(2)gd1	FBal0004795	ft[9]
CG43167	FBgn0262786	CG43167
Cry	FBgn0025680	cry
Cry	FBgn0005664	Crys
CG34163	FBgn0085192	CG34163
dmGlut	FBgn0010497	dmGlut
Phae1	FBgn0263234	Phae1
Phae2	FBgn0263235	Phae2
CG6388	FBgn0032430	Trm1
MRP	FBgn0032456	MRP
MRP	FBgn0065098	RNaseMRP:RNA
MRP	FBgn0264695	Mhc
CG5142	FBgn0032470	Ttc30
CG5945	FBgn0032494	CG5945
CG16820	FBgn0032495	CG16820
CG16826	FBgn0032505	CG16826
CAH1	FBgn0027844	CAH1
b	FBgn0000153	b
b	FBgn0003105	PL(3)sp-W2
b	FBgn0014105	anon-4Cd
b	FBgn0030314	CG11696
b	FBab0000111	C(2L)RM-P1
b	FBal0000858	b[1]
b	FBal0009782	l(3)68Aa[2]
b	FBal0009791	l(3)68Ab[2]
b	FBal0009795	l(3)68Ad[2]
b	FBal0009799	l(3)68Ag[2]
b	FBal0009803	l(3)68Ac[2]
b	FBal0009808	l(3)68Ae[2]
b	FBal0009810	l(3)68Bd[2]
b	FBal0009815	l(3)68Bg[2]
b	FBal0009817	l(3)68Bb[2]
b	FBal0009826	l(3)68Ba[2]
b	FBal0009840	l(3)68Bf[2]
b	FBal0009843	l(3)68Cb[2]
CG7916,CG7953	unknown ID	-
Ance-3	FBgn0032536	Ance-3
nimA	FBgn0261514	NimA
nimC2	FBgn0028939	NimC2
nimC4	FBgn0260011	NimC4
spel1	FBgn0015546	spel1
CG15282	FBgn0028855	CG15282
CG34166	FBgn0085195	CG34166
CG42681	FBgn0261567	CG42681
NC2beta	FBgn0028926	NC2beta
CG33310,GABA-B-R1	unknown ID	-
CR43357	FBgn0263089	lncRNA:CR43357
CG15263	FBgn0028853	CG15263
CG7631	FBgn0028945	CG7631
CG42818	FBgn0262000	CG42818
CG4455	FBgn0028506	CG4455
yellow-b	FBgn0032601	yellow-b
Mhc	FBgn0264695	Mhc
CG17928	FBgn0032603	CG17928
mdy	FBgn0004797	mdy
Arr1	FBgn0000120	Arr1
CG17681	FBgn0032668	CG17681
CG15155,CG5783	unknown ID	-
Sfp36F	FBgn0261057	Sfp36F
CG31751	FBgn0086909	CG31751
CG17325	FBgn0040993	CG17325
CG17324	FBgn0027074	Ugt36F1
CG17322	FBgn0027070	Ugt36E1
ScpX	FBgn0015808	ScpX
brat	FBgn0010300	brat
Lectin-galC1	FBgn0016675	Lectin-galC1
Rab9	FBgn0032782	Rab9
CG10026	FBgn0032785	CG10026
Tep4,ref(2)P	unknown ID	-
CG13078	FBgn0032809	CG13078
bwa	FBgn0045064	bwa
bwa	FBal0125102	bwa[P]
CG17472	FBgn0032868	CG17472
CG31680	FBgn0051680	CG31680
Sfp38D	FBgn0261058	Sfp38D
CG9336	FBgn0032897	CG9336
CG14397,CG9259	unknown ID	-
CG34136	FBgn0083972	CG34136
CG9257	FBgn0032916	CG9257
Hr39	FBgn0261239	Hr39
dtr	FBgn0023090	dtr
CG8665	FBgn0032945	CG8665
His1:CG33834	FBgn0053834	His1:CG33834
CR43148	FBgn0262631	lncRNA:CR43148
CG43144	FBgn0262620	lncRNA:CR43144
CG1416	FBgn0032961	CG1416
CG6675	FBgn0032973	CG6675
cta	FBgn0000384	cta
CR43242	FBgn0262887	lncRNA:CR43242
Cda5	FBgn0051973	Cda5
net	FBgn0002931	net
net	FBgn0015774	NetB
net	FBgn0265416	Neto
net	FBgn0015773	NetA
CG17075	FBgn0031239	CG17075
cbt	FBgn0043364	cbt
Ets21C	FBgn0005660	Ets21C
lectin-21Cb	FBgn0040106	lectin-21Cb
ds	FBgn0284247	ds
CG4629	FBgn0031299	CG4629
Iris	FBgn0031305	Iris
CG31664	FBgn0051664	CG31664
CG15358	FBgn0031373	CG15358
CG33673	FBgn0053673	CG33673
CG15353	FBgn0040718	CG15353
CG4259	FBgn0031389	CG4259
aop	FBgn0000097	aop
CG34172	FBgn0085201	COX7AL2
CG15385	FBgn0031397	CG15385
CG17239	FBgn0042186	CG17239
CG17242	FBgn0250841	CG17242
CG34447	FBgn0085476	CG34447
CG3117	FBgn0031471	CG3117
CG34406,CG44002	unknown ID	-
CG3332	FBgn0031514	OtopLb
CG15412	FBgn0031528	CG15412
Sfp23F	FBgn0259949	Sfp23F
sob	FBgn0004892	sob
odd	FBgn0002985	odd
CG16713,CG43165	unknown ID	-
CG3604	FBgn0031562	CG3604
CG10031	FBgn0031563	CG10031
CG31778	FBgn0051778	CG31778
cutlet	FBgn0015376	cutlet
CG31955	FBgn0051955	CG31955
lectin-24A	FBgn0040104	lectin-24A
ft	FBgn0001075	ft
dp	FBgn0011763	Dp
dp	FBgn0053196	dpy
dp	FBab0000112	C(2L)RM-P2
dp	FBal0002834	dpy[ov1]
Clect27	FBgn0287234	slf
Jon25Biii,jet	unknown ID	-
Jon25Bii	FBgn0031654	Jon25Bii
Jon25Bi	FBgn0020906	Jon25Bi
CG14034	FBgn0250847	CG14034
CG14022	FBgn0031700	CG14022
CR43715	FBgn0263868	lncRNA:CR43715
obst-E	FBgn0031737	obst-E
CG9171	FBgn0031738	CG9171
Sfp26Ac	FBgn0259959	Sfp26Ac
CR43808	FBgn0264352	lncRNA:CR43808
Gal	FBgn0001089	Gal
CG9098	FBgn0031762	CG9098
CG9498	FBgn0031801	CG9498
CG42369	FBgn0259715	CG42369
CG9527	FBgn0031813	Acox3
retm	FBgn0031814	retm
CG11320	FBgn0031837	DIP-iota
CG31633,CG31636	unknown ID	-
Galt	FBgn0263200	Galt
Nha1	FBgn0031865	Nha1
Atac1	FBgn0031876	Atac1
uif	FBgn0031879	uif
ade3	FBgn0000053	Gart
Pvf2	FBgn0031888	Pvf2
Obp28a	FBgn0011283	Obp28a
Slob	FBgn0264087	Slob
CG18585,CG7025	unknown ID	-
CG33296	FBgn0053296	CG33296
CG13794	FBgn0031936	CG13794
CG13795	FBgn0031937	CG13795
CG13796	FBgn0031939	CG13796
CG31904	FBgn0260479	CG31904
Acp1	FBgn0014454	Acp1
CG7214	FBgn0031940	CG7214
CG7203	FBgn0031942	CG7203
LKR	FBgn0035610	Lkr
LKR	FBgn0286198	LKRSDH
spz3	FBgn0031959	spz3
CG7102	FBgn0031961	CG7102
CG12375	FBgn0031987	CG12375
CG8552	FBgn0031990	PAPLA1
CG43057	FBgn0262359	CG43057
CG13392	FBgn0032033	CG13392
CG13384	FBgn0032036	CG13384
Peritrophin-15a	FBgn0040959	Peritrophin-15a
Bace	FBgn0032049	Bace
CG9463	FBgn0032066	LManIII
CG9466	FBgn0032068	LManV
CG9468	FBgn0032069	LManVI
CG9525	FBgn0032080	CG9525
rost	FBgn0011705	rost
rost	FBgn0024189	sns
CG31708	FBgn0051708	DIP-zeta
lectin-30A	FBgn0040097	lectin-30A
Cyp4e3	FBgn0015035	Cyp4e3
Uhg2	FBgn0063449	Uhg2
mir-87	FBgn0262428	mir-87
CG5846	FBgn0032171	CG5846
Utx,trk	unknown ID	-
CG5322	FBgn0032253	LManI
CG7299	FBgn0032282	CG7299
CG17108	FBgn0032285	CG17108
CG7300	FBgn0032286	CG7300
ial	FBgn0024227	aurB
Ast-C	FBgn0032336	AstC
Ast-CC	FBgn0032337	AstCC
Gyc32E	FBgn0010197	Gyc32E
CG6287	FBgn0032350	CG6287
CR43314,bft	unknown ID	-
CG6746	FBgn0032394	Hacd1
prd	FBgn0003145	prd
prd	FBtp0000358	P{GAL4-prd.F}
Oatp33Ea	FBgn0032433	Oatp33Ea
CG5525,CG5780	unknown ID	-
CR44198	FBgn0265087	CG44198
CG16978	FBgn0040972	CG16978
CG9377	FBgn0032507	CG9377
CG33306,CG8997	unknown ID	-
CG16886	FBgn0028938	Vajk1
CG16885	FBgn0032538	Vajk2
CG16884	FBgn0028544	Vajk3
He	FBgn0028430	He
rk	FBgn0003255	rk
rk	FBal0014574	rk[1]
smi35A	FBgn0016930	Dyrk2
smi35A	FBal0050511	Dyrk2[1]
l(2)34Fc	FBgn0261534	l(2)34Fc
pburs	FBgn0264810	Pburs
CG31775	FBgn0028537	CG31775
CR43805	FBgn0264349	lncRNA:CR43805
CG15279	FBgn0028886	CG15279
mol	FBgn0086711	mol
GABA-B-R1	FBgn0260446	GABA-B-R1
UK114	FBgn0086691	UK114
nht	FBgn0041103	nht
CG15255	FBgn0028950	CG15255
CG11864	FBgn0028944	Semp1
CG15254	FBgn0028949	CG15254
CG15253	FBgn0028948	CG15253
CG42792	FBgn0261925	CG42792
PRL-1	FBgn0024734	PRL-1
PRL-1	FBtp0084845	P{UAS-PRL-1.P}
CG5869	FBgn0028894	GMF
CG5953	FBgn0032587	CG5953
CG13278	FBgn0032602	ppk17
CG13282	FBgn0032612	CG13282
CG31809	FBgn0051809	CG31809
Socs36E	FBgn0041184	Socs36E
CG43362	FBgn0263094	CG43362
CG10283	FBgn0032681	CG10283
kon	FBgn0032683	kon
CG10348	FBgn0032707	CG10348
CG10570	FBgn0040992	CG10570
CG17597	FBgn0032715	CG17597
CG17597	FBgn0020907	Scp2
CG17572	FBgn0032753	CG17572
CG17549	FBgn0032774	CG17549
CG10195	FBgn0032787	CG10195
CG42866	FBgn0262140	CG42866
vls	FBgn0003978	vls
CG10651	FBgn0032853	CG10651
CG17571	FBgn0259998	CG17571
CG15130	FBgn0032860	CG15130
CheB38b	FBgn0067311	CheB38b
CG33511	FBgn0053511	CG33511
Cht3	FBgn0250907	Cht10
laccase2	FBgn0286203	stw
CG30438	FBgn0050438	Ugt50B3
CG7882	FBgn0033047	CG7882
Cyp6w1	FBgn0033065	Cyp6w1
