Id	control1	control2	control3	control4	coldshock1	coldshock2	coldshock3	coldshock4	heatshock1	heatshock2	norm.control1	norm.control2	norm.control3	norm.control4	norm.coldshock1	norm.coldshock2	norm.coldshock3	norm.coldshock4	norm.heatshock1	norm.heatshock2	baseMean	control	coldshock	heatshock	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0267519	30702	72339	17085	107988	0	1	1	0	33	10	65243	30415	27476	58361	0	1	2	0	17	10	18152.6	45374	1	14	0	-16.26	-14.842	7.82269168072991e-50	2.82281829299139e-46	0.1698	0.6881	0.2554	0.2554	TRUE	0.1287
FBgn0085753	1610	3815	1564	2962	8	3	9	8	3	3	3421	1604	2515	1601	8	3	16	8	2	3	918.18	2285	9	2	0.004	-8.069	-14.016	1.24770323869643e-44	2.25116856841803e-41	0.16	0.7106	0.2492	0.2492	TRUE	0.1397
FBgn0034936	530	3269	719	2762	181	213	110	168	1091	553	1126	1374	1156	1493	187	200	199	175	569	571	705.2	1287	190	570	0.148	-2.761	-13.956	2.88990788509587e-44	4.63477004594153e-41	0.0093	0.7177	0.034	0.034	TRUE	0.0654
FBgn0261504	5418	10090	4434	12497	1	1	3	0	0	0	11514	4242	7131	6754	1	1	5	0	0	0	2964.79	7410	2	0	0	-12.247	-13.931	4.08913418964289e-44	5.90225628933055e-41	0.2068	0.6943	0.3654	0.3654	TRUE	0.2996
FBgn0085813	73933	112728	57915	228474	0	1	0	8	5	26	157111	47397	93138	123477	0	1	0	8	3	27	42116.21	105281	2	15	0	-15.408	-13.862	1.07021014440394e-43	1.40431029312058e-40	1.3099	0.6875	0.9444	0.9444	TRUE	0.5258
FBgn0000003	4456	7559	3595	9050	1	2	6	4	0	0	9469	3178	5781	4891	1	2	11	4	0	0	2333.78	5830	4	0	0.001	-10.477	-13.845	1.35946462134188e-43	1.63520936203739e-40	0.3019	0.6962	0.4072	0.4072	TRUE	0.2318
FBgn0267520	11710	11013	3459	12010	7	2	3	1	39	81	24884	4630	5563	6491	7	2	5	1	20	84	4168.79	10392	4	52	0	-11.413	-12.859	7.61337718201743e-38	6.46420507324939e-35	0.5683	0.6921	0.6026	0.6026	TRUE	2.4879
FBgn0085819	21041	48991	12588	81060	1	0	0	9	8	105	44713	20599	20244	43808	1	0	0	9	4	108	12948.68	32341	2	56	0	-13.554	-11.048	2.25035523705342e-28	8.32862243375105e-26	1.404	0.6886	1.2266	1.2266	TRUE	0.5025
FBgn0033686	72	348	104	334	13	11	6	14	255	107	153	146	167	181	13	10	11	15	133	111	93.99	162	12	122	0.077	-3.707	-10.77	4.7487688977791e-27	1.59404023884985e-24	0	0.9179	0.0637	0.0637	TRUE	0.0494
FBgn0267514	778	3394	3339	4084	0	0	0	0	0	0	1653	1427	5370	2207	0	0	0	0	0	0	1065.72	2664	0	0	0	-13.603	-10.591	3.26681829828189e-26	1.07166489357729e-23	0.496	0.7073	0.5848	0.5848	TRUE	0.5661
FBgn0040005	321	1086	381	919	53	85	30	39	443	260	682	457	613	497	55	80	54	41	231	269	297.76	562	58	250	0.103	-3.283	-10.259	1.07869740511973e-24	3.05292516578395e-22	0.039	0.7598	0.087	0.087	TRUE	0.1597
FBgn0267511	983	5529	13441	13555	5	0	5	0	13	5	2089	2325	21616	7326	5	0	9	0	7	5	3338.11	8339	4	6	0	-11.285	-9.701	2.99591205903552e-22	7.08901551805225e-20	1.284	0.6934	1.1231	1.1231	TRUE	0.3276
FBgn0038953	307	1518	343	1143	161	131	68	155	704	310	652	638	552	618	166	123	123	162	367	320	372.19	615	144	344	0.234	-2.094	-9.551	1.27871457850935e-21	2.88390097284436e-19	0.0071	0.7453	0.0411	0.0411	TRUE	0.0782
