Id	control1	control2	control3	control4	coldshock1	coldshock2	coldshock3	coldshock4	heatshock1	heatshock2	norm.control1	norm.control2	norm.control3	norm.control4	norm.coldshock1	norm.coldshock2	norm.coldshock3	norm.coldshock4	norm.heatshock1	norm.heatshock2	baseMean	control	coldshock	heatshock	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0266456	4	19	5	23	23608	15024	24777	11736	4	10	9	8	8	12	24395	14132	44907	12237	2	10	9572.09	9	23918	6	2553.536	11.318	17.558	5.1231075345221e-69	7.3946934153292e-65	0.2851	0.6892	0.3427	0.3427	TRUE	0.1485
FBgn0052762	0	0	1	2	460901	314589	698174	275073	0	3	0	0	2	1	476271	295906	1265416	286816	0	3	232441.55	1	581102	2	912518.766	19.799	16.642	3.48145903085746e-62	2.51256898256983e-58	0.8077	0.687	0.7646	0.7646	TRUE	0.6635
FBgn0004590	0	0	0	0	227823	185704	510029	145446	2	0	0	0	0	0	235421	174675	924410	151655	1	0	148616.21	0	371540	0	2151654.672	21.037	15.351	3.50140158904596e-53	1.68464101787631e-49	0.8749	0.6871	0.8047	0.8047	TRUE	2.0648
FBgn0045823	1506	6337	2518	5906	264885	284188	355925	247058	53888	65796	3200	2664	4049	3192	273718	267311	645102	257605	28104	67984	155292.98	3276	360934	48044	110.168	6.784	14.633	1.74058731882598e-48	5.02472747198683e-45	0.1804	0.6871	0.2063	0.2063	TRUE	2.2955
FBgn0004592	0	0	0	0	69242	73832	222527	47299	3	62997	0	0	0	0	71551	69447	403323	49318	2	65092	65873.26	0	148410	32547	1073741824	30	14.522	8.75840403151285e-48	2.10698006318094e-44	4.3048	0.6873	3.1007	3.1007	TRUE	4.5421
FBgn0038809	1005	4109	1363	3025	13547	16947	9599	12531	6665	3428	2136	1728	2192	1635	13999	15941	17398	13066	3476	3542	7511.12	1923	15101	3509	7.862	2.975	14.238	5.34097926868614e-46	1.10130992520308e-42	0.0159	0.6898	0.0416	0.0416	TRUE	0.0455
FBgn0043577	0	0	0	1	26608	19262	38529	13209	1	0	0	0	0	1	27495	18118	69832	13773	1	0	12921.98	0	32304	0	112528.285	16.78	13.549	8.04642899388947e-42	8.93401200752313e-39	0.5168	0.6886	0.5666	0.5666	TRUE	0.3465
FBgn0000639	2	23	8	80	1612263	1125084	2987174	936630	48	16136	4	10	13	43	1666029	1058267	5414151	976615	25	16673	913182.94	18	2278766	8349	128518.165	16.972	13.512	1.32270252384046e-41	1.36370630207951e-38	1.0489	0.687	1.4833	1.4833	TRUE	1.064
FBgn0011760	2837	14572	2679	7768	82697	88071	64880	72271	44674	36731	6029	6127	4308	4198	85455	82841	117593	75356	23299	37952	44315.77	5166	90311	30626	17.484	4.128	13.491	1.77489787301601e-41	1.70792505994087e-38	0.0525	0.6874	0.0898	0.0898	TRUE	0.3378
FBgn0002535	0	0	0	0	24545	23882	60817	17694	29	526417	0	0	0	0	25364	22464	110229	18449	15	543923	72044.33	0	44126	271969	174539394.421	27.379	13.463	2.57160829492802e-41	2.31991213306194e-38	4.1031	0.6872	2.9739	2.9739	TRUE	8.3035
FBgn0011573	310	1445	391	1232	2454	3040	1557	2984	5938	2448	659	608	629	666	2536	2859	2822	3111	3097	2529	1951.59	640	2832	2813	4.426	2.146	12.794	1.78196531170344e-37	1.42893818384041e-34	0.0068	0.6981	0.0259	0.0259	TRUE	0.0403
FBgn0259233	10	120	40	105	19256	12682	28433	7066	195	34	21	50	64	57	19898	11929	51534	7368	102	35	9105.81	48	22682	68	468.042	8.87	12.628	1.47612412740513e-36	1.12138819236662e-33	0.4476	0.6893	0.4622	0.4622	TRUE	0.2404
FBgn0015737	1435	5297	1089	2638	44935	56069	24994	42224	17552	17056	3049	2227	1751	1426	46434	52739	45301	44027	9154	17623	22373.06	2113	47125	13388	22.309	4.48	12.576	2.84956256771915e-36	2.05652930512291e-33	0.0789	0.6879	0.1216	0.1216	TRUE	0.7067
FBgn0261634	0	1	0	1	13994	11229	26714	6027	0	0	0	0	0	1	14461	10562	48418	6284	0	0	7972.63	0	19931	0	47756.051	15.543	12.572	3.02319419782567e-36	2.07794214530551e-33	0.7399	0.6897	0.7241	0.7241	TRUE	0.4858
FBgn0004591	0	0	0	0	22909	17512	42049	11301	0	0	0	0	0	0	23673	16472	76212	11783	0	0	12814.08	0	32035	0	185520.858	17.501	12.518	5.94884824828466e-36	3.90298525526095e-33	1.0691	0.6886	0.8782	0.8782	TRUE	0.6091
FBgn0031512	0	0	0	0	347	258	481	196	0	490	0	0	0	0	359	243	872	204	0	506	218.37	0	420	253	23931760.463	24.512	12.374	3.59406681357375e-35	2.25551132117928e-32	4.2132	0.7863	2.7691	2.7691	TRUE	0.701
FBgn0032280	0	0	0	0	203	192	230	110	4	20105	0	0	0	0	210	181	417	115	2	20774	2169.76	0	231	10388	12401632.178	23.564	12.266	1.38185273232603e-34	8.31069264099749e-32	3.4458	0.6969	2.5438	2.5438	TRUE	2.0228
