Id	control1	control2	control3	control4	coldshock1	coldshock2	coldshock3	coldshock4	heatshock1	heatshock2	norm.control1	norm.control2	norm.control3	norm.control4	norm.coldshock1	norm.coldshock2	norm.coldshock3	norm.coldshock4	norm.heatshock1	norm.heatshock2	baseMean	control	coldshock	heatshock	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0266456	4	19	5	23	23608	15024	24777	11736	4	10	9	8	8	12	24395	14132	44907	12237	2	10	9572.09	9	23918	6	0	-12.002	-14.668	1.04081984998944e-48	1.43810078673042e-44	0.2851	0.6892	0.3427	0.3427	TRUE	0.1485
FBgn0052762	0	0	1	2	460901	314589	698174	275073	0	3	0	0	2	1	476271	295906	1265416	286816	0	3	232441.55	1	581102	2	0	-18.738	-14.07	5.83131697021506e-45	4.02856532887308e-41	0.8077	0.687	0.7646	0.7646	TRUE	0.6635
FBgn0004590	0	0	0	0	227823	185704	510029	145446	2	0	0	0	0	0	235421	174675	924410	151655	1	0	148616.21	0	371540	0	0	-19.18	-12.219	2.47420468552268e-34	1.13953620466223e-30	0.8749	0.6871	0.8047	0.8047	TRUE	2.0648
FBgn0003507	641	3577	845	1854	8602	10300	4583	8987	2727	992	1362	1504	1359	1002	8889	9688	8307	9371	1422	1025	4392.86	1307	9064	1224	0.135	-2.888	-10.223	1.56573250639038e-24	5.40843151019896e-21	0.0202	0.6919	0.0507	0.0507	TRUE	0.2021
FBgn0043577	0	0	0	1	26608	19262	38529	13209	1	0	0	0	0	1	27495	18118	69832	13773	1	0	12921.98	0	32304	0	0	-16.493	-10.092	5.97810962999361e-24	1.65199081515243e-20	0.5168	0.6886	0.5666	0.5666	TRUE	0.3465
FBgn0028938	10	100	23	167	8423	5893	15409	3142	26	22	21	42	37	90	8704	5543	27928	3276	14	23	4567.82	48	11363	18	0.002	-9.3	-10.007	1.42027777109483e-23	3.27066299386955e-20	0.4977	0.6917	0.5247	0.5247	TRUE	0.4084
FBgn0259233	10	120	40	105	19256	12682	28433	7066	195	34	21	50	64	57	19898	11929	51534	7368	102	35	9105.81	48	22682	68	0.003	-8.367	-9.771	1.49525205622444e-22	2.95141395155045e-19	0.4476	0.6893	0.4622	0.4622	TRUE	0.2404
FBgn0004591	0	0	0	0	22909	17512	42049	11301	0	0	0	0	0	0	23673	16472	76212	11783	0	0	12814.08	0	32035	0	0	-17.856	-9.61	7.24154762371424e-22	1.25070579396075e-18	1.0691	0.6886	0.8782	0.8782	TRUE	0.6091
FBgn0261634	0	1	0	1	13994	11229	26714	6027	0	0	0	0	0	1	14461	10562	48418	6284	0	0	7972.63	0	19931	0	0	-17.171	-9.582	9.55807860210123e-22	1.46737746716925e-18	0.7399	0.6897	0.7241	0.7241	TRUE	0.4858
FBgn0261630	0	0	0	0	13252	9965	19685	5882	0	0	0	0	0	0	13694	9373	35678	6133	0	0	6487.86	0	16220	0	0	-16.874	-9.319	1.17240422164405e-20	1.61991091304559e-17	0.8378	0.6903	0.7669	0.7669	TRUE	0.2853
FBgn0033158	8	50	10	41	2434	1831	4497	1255	17	25	17	21	16	22	2515	1722	8151	1309	9	26	1380.76	19	3424	18	0.005	-7.647	-9.115	7.895476938243e-20	9.24343054808037e-17	0.4042	0.7027	0.4208	0.4208	TRUE	0.7116
FBgn0263376	0	0	0	7	7896	5735	10978	3063	4	1	0	0	0	4	8159	5394	19897	3194	2	1	3665.16	1	9161	2	0	-12.465	-9.113	8.02787628117279e-20	9.24343054808037e-17	1.0956	0.6929	0.8908	0.8908	TRUE	0.7191
FBgn0003065	1	14	1	2	2835	2058	4649	1078	20	6	2	6	2	1	2930	1936	8426	1124	10	6	1444.28	3	3604	8	0.002	-8.742	-8.857	8.24674085084534e-19	8.76501679508693e-16	0.5357	0.702	0.5634	0.5634	TRUE	0.3037
FBgn0004593	0	2	0	1	4015	3409	6131	1977	0	0	0	1	0	1	4149	3207	11112	2061	0	0	2053.04	0	5132	0	0	-15.214	-8.821	1.13838707077386e-18	1.1235067254916e-15	0.5217	0.6975	0.5724	0.5724	TRUE	0.3217
FBgn0029770	0	0	2	1	72629	46230	85085	35284	0	16	0	0	3	1	75051	43484	154214	36790	0	17	30955.97	1	77385	8	0	-13.224	-8.775	1.70401693033213e-18	1.56962679509327e-15	1.7619	0.6876	1.391	1.391	TRUE	0.3108
FBgn0038809	1005	4109	1363	3025	13547	16947	9599	12531	6665	3428	2136	1728	2192	1635	13999	15941	17398	13066	3476	3542	7511.12	1923	15101	3509	0.232	-2.105	-8.244	1.6655686340969e-16	1.35371540101864e-13	0.0159	0.6898	0.0416	0.0416	TRUE	0.0455
