Id	control1	control2	control3	control4	coldshock1	coldshock2	coldshock3	coldshock4	heatshock1	heatshock2	norm.control1	norm.control2	norm.control3	norm.control4	norm.coldshock1	norm.coldshock2	norm.coldshock3	norm.coldshock4	norm.heatshock1	norm.heatshock2	baseMean	control	coldshock	heatshock	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0033686	72	348	104	334	13	11	6	14	255	107	153	146	167	181	13	10	11	15	133	111	93.99	162	12	122	9.85	3.3	8.394	4.68794919197505e-17	4.04833712409495e-14	0	0.9179	0.0637	0.0637	TRUE	0.0494
FBgn0020640	0	0	2	10	0	0	0	0	0	2110	0	0	3	5	0	0	0	0	0	2180	218.88	2	0	1090	136686894.531	27.026	8.181	2.81907796347298e-16	2.16395556785034e-13	10	0.7861	6.3244	6.3244	TRUE	1.2491
FBgn0052404	0	0	0	1	0	0	0	0	0	905	0	0	0	1	0	0	0	0	0	935	93.56	0	0	468	77603424.375	26.21	7.315	2.57305328348007e-13	1.48132821741017e-10	10	0.9189	7.5562	7.5562	TRUE	0.2255
FBgn0038524	289	1316	229	673	123	140	64	134	1299	610	614	553	368	364	127	132	116	140	677	630	372.17	475	129	654	5.075	2.344	6.809	9.84710739551317e-12	3.88735665382301e-09	0.0328	0.7453	0.072	0.072	TRUE	0.1007
FBgn0034936	530	3269	719	2762	181	213	110	168	1091	553	1126	1374	1156	1493	187	200	199	175	569	571	705.2	1287	190	570	2.996	1.583	6.586	4.50846981948545e-11	1.55733818739576e-08	0.0093	0.7177	0.034	0.034	TRUE	0.0654
FBgn0013686	54848	54261	54902	101833	2858	3482	1505	2948	67845	77950	116555	22814	88292	55035	2953	3275	2728	3074	35383	80542	41065.17	70674	3008	57962	19.272	4.268	6.514	7.32902132111673e-11	2.41107351413976e-08	0.1872	0.6875	0.2749	0.2749	TRUE	0.0538
FBgn0265146	0	0	0	0	0	0	0	0	0	353	0	0	0	0	0	0	0	0	0	365	36.47	0	0	182	94608200.686	26.495	6.492	8.45410318749163e-11	2.59578541647938e-08	10	1.282	10	10	TRUE	0
FBgn0052248	0	0	0	0	0	0	0	0	0	337	0	0	0	0	0	0	0	0	0	348	34.82	0	0	174	88084549.523	26.392	6.467	9.99726856067538e-11	3.00287521093156e-08	10	1.3103	10	10	TRUE	0
FBgn0033005	700	2060	559	1547	196	208	106	195	1593	1055	1488	866	899	836	203	196	192	203	831	1090	680.32	1022	198	960	4.837	2.274	6.422	1.34190606181856e-10	3.70822321122942e-08	0.0415	0.7188	0.0778	0.0778	TRUE	0.7241
FBgn0086611	0	6	2	1	1	0	0	0	4	7053	0	3	3	1	1	0	0	0	2	7288	729.69	2	0	3645	13200.919	13.688	6.057	1.38611948341743e-09	2.85850938841472e-07	3.5835	0.7167	2.6048	2.6048	TRUE	0.2946
FBgn0013672	1646	2508	4156	4428	151	194	59	182	3803	4065	3498	1055	6684	2393	156	182	107	190	1983	4200	2044.78	3408	159	3092	19.443	4.281	5.919	3.23357788409981e-09	6.29272473586014e-07	0.2697	0.6976	0.3324	0.3324	TRUE	0.1588
