Id	control1	control2	control3	control4	coldshock1	coldshock2	coldshock3	coldshock4	heatshock1	heatshock2	norm.control1	norm.control2	norm.control3	norm.control4	norm.coldshock1	norm.coldshock2	norm.coldshock3	norm.coldshock4	norm.heatshock1	norm.heatshock2	baseMean	control	coldshock	heatshock	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0000003	4456	7559	3595	9050	1	2	6	4	0	0	9469	3178	5781	4891	1	2	11	4	0	0	2333.78	5830	4	0	0	-15.398	-9.341	9.52037557751627e-21	9.66903990384211e-18	0.3019	0.6962	0.4072	0.4072	TRUE	0.2318
FBgn0000008	480	2184	457	1470	2602	2339	1242	2315	2837	227	1020	918	735	794	2689	2200	2251	2414	1480	235	1473.56	867	2388	858	0.99	-0.015	-0.024	0.981239680574902	0.992532530819439	0.214	0.7017	0.2653	0.2653	TRUE	0.1083
FBgn0000014	72	433	215	632	1815	1417	2357	864	290	1158	153	182	346	342	1876	1333	4272	901	151	1197	1075.14	256	2096	674	2.634	1.397	1.561	0.118538827125338	0.38407904140921	0.4588	0.7071	0.511	0.511	TRUE	0.3497
FBgn0000015	27	332	193	752	330	327	344	249	198	385	57	140	310	406	341	308	623	260	103	398	294.65	228	383	250	1.093	0.129	0.151	0.880164942706826	0.949458746649843	0.4206	0.7606	0.4638	0.4638	TRUE	0.2383
FBgn0000017	1533	7079	1103	3156	3148	2620	1932	2564	3916	502	3258	2976	1774	1706	3253	2464	3502	2673	2042	519	2416.71	2428	2973	1280	0.528	-0.922	-1.545	0.122249474478404	0.389424365085599	0.1765	0.6959	0.2277	0.2277	TRUE	0.1332
FBgn0000018	131	417	109	337	79	19	6	128	509	167	278	175	175	182	82	18	11	133	265	173	149.3	202	61	219	1.082	0.113	0.125	0.900316035760727	0.959315036732216	0.4704	0.8323	0.5196	0.5196	TRUE	1.7964
FBgn0000022	0	5	0	0	12	35	0	0	1	30	0	2	0	0	12	33	0	0	1	31	7.89	0	11	16	23.05	4.527	1.553	0.120361930975832	0.386463661156106	5.6761	3.4363	4.9795	4.9795	TRUE	0.4852
FBgn0000024	131	717	801	2515	2188	1729	2447	914	1063	870	278	301	1288	1359	2261	1626	4435	953	554	899	1395.59	806	2319	726	0.9	-0.151	-0.175	0.861381748243028	0.942316946064521	0.4312	0.7025	0.481	0.481	TRUE	0.2387
FBgn0000028	7	66	85	366	661	487	660	495	166	67	15	28	137	198	683	458	1196	516	87	69	338.64	94	713	78	0.824	-0.279	-0.292	0.770181884776498	0.898879930891997	0.5458	0.751	0.575	0.575	TRUE	0.8106
FBgn0000032	752	2899	367	835	686	665	413	738	1551	620	1598	1219	590	451	709	626	749	770	809	641	816.04	964	714	725	0.752	-0.411	-0.735	0.462513434819203	0.703709375554136	0.139	0.7135	0.1994	0.1994	TRUE	0.1493
FBgn0000036	25	193	224	930	825	485	1078	344	166	69	53	81	360	503	853	456	1954	359	87	71	477.62	249	906	79	0.316	-1.66	-1.653	0.0983028151624057	0.356950253464884	0.6048	0.7324	0.6377	0.6377	TRUE	0.3848
FBgn0000037	35	399	238	1232	1229	787	1238	542	237	91	74	168	383	666	1270	740	2244	565	124	94	632.76	323	1205	109	0.337	-1.569	-1.772	0.0763809800813113	0.31632938519873	0.4526	0.7212	0.4965	0.4965	TRUE	0.2737
