Id	control1	control2	control3	control4	coldshock1	coldshock2	coldshock3	coldshock4	heatshock1	heatshock2	norm.control1	norm.control2	norm.control3	norm.control4	norm.coldshock1	norm.coldshock2	norm.coldshock3	norm.coldshock4	norm.heatshock1	norm.heatshock2	baseMean	control	coldshock	heatshock	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0267519	30702	72339	17085	107988	0	1	1	0	33	10	65243	30415	27476	58361	0	1	2	0	17	10	18152.6	45374	1	14	0	-11.665	-17.285	6.14227696582351e-67	8.10964827797678e-63	0.1698	0.6881	0.2554	0.2554	TRUE	0.1287
FBgn0085753	1610	3815	1564	2962	8	3	9	8	3	3	3421	1604	2515	1601	8	3	16	8	2	3	918.18	2285	9	2	0.001	-10.031	-11.691	1.42207168494023e-31	4.69390311406646e-28	0.16	0.7106	0.2492	0.2492	TRUE	0.1397
FBgn0085813	73933	112728	57915	228474	0	1	0	8	5	26	157111	47397	93138	123477	0	1	0	8	3	27	42116.21	105281	2	15	0	-12.824	-10.369	3.44594546403723e-25	5.05520199574262e-22	1.3099	0.6875	0.9444	0.9444	TRUE	0.5258
FBgn0261504	5418	10090	4434	12497	1	1	3	0	0	0	11514	4242	7131	6754	1	1	5	0	0	0	2964.79	7410	2	0	0	-15.744	-9.668	4.12468787365661e-22	4.53818783299069e-19	0.2068	0.6943	0.3654	0.3654	TRUE	0.2996
FBgn0000003	4456	7559	3595	9050	1	2	6	4	0	0	9469	3178	5781	4891	1	2	11	4	0	0	2333.78	5830	4	0	0	-15.398	-9.341	9.52037557751627e-21	9.66903990384211e-18	0.3019	0.6962	0.4072	0.4072	TRUE	0.2318
FBgn0267514	778	3394	3339	4084	0	0	0	0	0	0	1653	1427	5370	2207	0	0	0	0	0	0	1065.72	2664	0	0	0	-14.268	-8.245	1.64737694928432e-16	1.14475357165268e-13	0.496	0.7073	0.5848	0.5848	TRUE	0.5661
FBgn0267520	11710	11013	3459	12010	7	2	3	1	39	81	24884	4630	5563	6491	7	2	5	1	20	84	4168.79	10392	4	52	0.005	-7.649	-7.822	5.20588020079617e-15	2.86388484546299e-12	0.5683	0.6921	0.6026	0.6026	TRUE	2.4879
FBgn0267511	983	5529	13441	13555	5	0	5	0	13	5	2089	2325	21616	7326	5	0	9	0	7	5	3338.11	8339	4	6	0.001	-10.44	-7.601	2.93639297123755e-14	1.38461415711605e-11	1.284	0.6934	1.1231	1.1231	TRUE	0.3276
FBgn0085771	5203	18835	1259	27529	11	0	0	0	0	0	11057	7919	2025	14878	11	0	0	0	0	0	3588.98	8970	3	0	0	-16.019	-7.142	9.2016403191415e-13	2.64107080725272e-10	3.1014	0.693	1.8896	1.8896	TRUE	0.4951
FBgn0085819	21041	48991	12588	81060	1	0	0	9	8	105	44713	20599	20244	43808	1	0	0	9	4	108	12948.68	32341	2	56	0.002	-9.17	-6.602	4.04891087182898e-11	8.62222100657387e-09	1.404	0.6886	1.2266	1.2266	TRUE	0.5025
