Id	control1	control2	control3	control4	coldshock1	coldshock2	coldshock3	coldshock4	heatshock1	heatshock2	norm.control1	norm.control2	norm.control3	norm.control4	norm.coldshock1	norm.coldshock2	norm.coldshock3	norm.coldshock4	norm.heatshock1	norm.heatshock2	baseMean	control	coldshock	heatshock	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0032280	0	0	0	0	203	192	230	110	4	20105	0	0	0	0	210	181	417	115	2	20774	2169.76	0	231	10388	559070607.198	29.058	12.98	1.58419894283286e-38	1.04580893211111e-34	3.4458	0.6969	2.5438	2.5438	TRUE	2.0228
FBgn0002535	0	0	0	0	24545	23882	60817	17694	29	526417	0	0	0	0	25364	22464	110229	18449	15	543923	72044.33	0	44126	271969	1073741824	30	12.584	2.57066032240467e-36	1.1313476078903e-32	4.1031	0.6872	2.9739	2.9739	TRUE	8.3035
FBgn0004592	0	0	0	0	69242	73832	222527	47299	3	62997	0	0	0	0	71551	69447	403323	49318	2	65092	65873.26	0	148410	32547	235583461.765	27.812	11.468	1.9010008718549e-30	5.01978290222004e-27	4.3048	0.6873	3.1007	3.1007	TRUE	4.5421
FBgn0036227	0	0	0	0	666	657	1183	440	0	11011	0	0	0	0	688	618	2144	459	0	11377	1528.63	0	977	5688	301401842.655	28.167	10.949	6.72279544341609e-28	1.47935113732371e-24	5.6846	0.7011	3.573	3.573	TRUE	5.0474
FBgn0011573	310	1445	391	1232	2454	3040	1557	2984	5938	2448	659	608	629	666	2536	2859	2822	3111	3097	2529	1951.59	640	2832	2813	4.397	2.137	10.464	1.25966862623912e-25	2.37591498174788e-22	0.0068	0.6981	0.0259	0.0259	TRUE	0.0403
FBgn0051789	0	0	0	0	208	360	573	157	0	1927	0	0	0	0	215	339	1039	164	0	1991	374.69	0	439	996	51573828.945	25.62	10.376	3.18513522433757e-25	5.05520199574262e-22	5.0529	0.7449	3.2384	3.2384	TRUE	2.4806
FBgn0031512	0	0	0	0	347	258	481	196	0	490	0	0	0	0	359	243	872	204	0	506	218.37	0	420	253	14442380.648	23.784	10.267	9.94405930385095e-25	1.31291414988744e-21	4.2132	0.7863	2.7691	2.7691	TRUE	0.701
FBgn0266261	0	0	0	0	3	2	16	8	0	1826	0	0	0	0	3	2	29	8	0	1887	192.9	0	10	944	53802365.887	25.681	9.915	3.57883123977435e-23	4.2955735326128e-20	5.6585	0.7995	3.6304	3.6304	TRUE	2.0834
FBgn0036228	0	0	0	0	31	47	56	1	0	354	0	0	0	0	32	44	101	1	0	366	54.46	0	44	183	11102998.947	23.404	8.952	3.50339233534025e-19	3.30394921453552e-16	5.4202	1.0855	3.7097	3.7097	TRUE	0.5105
FBgn0020645	0	0	0	0	16	14	12	0	0	1183	0	0	0	0	17	13	22	0	0	1222	127.38	0	13	611	37186072.569	25.148	8.734	2.45724446436224e-18	2.16286657753165e-15	8.9661	0.8573	4.6436	4.6436	TRUE	1.2362
FBgn0025643	0	0	0	0	1028	885	1008	811	275	7178	0	0	0	0	1062	832	1827	846	143	7417	1212.74	0	1142	3780	21889.486	14.418	8.526	1.51400536412172e-17	1.24933830140619e-14	1.3644	0.7048	1.1651	1.1651	TRUE	1.2823
FBgn0029639	0	0	0	0	1295	1352	258	903	320	4925	0	0	0	0	1338	1272	468	942	167	5089	927.47	0	1005	2628	15216.775	13.893	8.508	1.77462492113641e-17	1.37825722551553e-14	1.1814	0.7103	1.0415	1.0415	TRUE	0.4799
FBgn0035886	0	17	3	6	51685	60920	115077	44249	96	136642	0	7	5	3	53409	57302	208573	46138	50	141186	50667.31	4	91356	70618	17820.575	14.121	8.31	9.60973899491367e-17	7.04874355276918e-14	2.0266	0.6874	1.7566	1.7566	TRUE	6.0946
FBgn0002533	0	1	0	4	24440	23029	64188	21351	11	281703	0	0	0	2	25255	21661	116339	22262	6	291071	47659.67	0	46379	145538	187985.928	17.52	8.199	2.41517302369347e-16	1.59437647159125e-13	3.1047	0.6874	2.5298	2.5298	TRUE	8.4192
FBgn0034899	0	1	0	1	4730	3697	9039	2354	14	54613	0	0	0	1	4888	3477	16383	2454	7	56429	8364	0	6800	28218	86423.115	16.399	7.995	1.29445415318538e-15	8.13841818309834e-13	2.5588	0.6895	2.1244	2.1244	TRUE	6.3311
FBgn0036362	3	9	2	2	601	703	960	408	158	12892	6	4	3	1	621	661	1740	425	82	13321	1686.53	4	862	6702	1953.703	10.932	7.956	1.78101369742861e-15	1.06885108396136e-12	1.1853	0.6998	1.1053	1.1053	TRUE	3.6509
FBgn0052198	0	0	0	2	1402	1247	2505	951	40	54782	0	0	0	1	1449	1173	4540	992	21	56604	6477.92	0	2038	28312	81191.882	16.309	7.919	2.39382279941492e-15	1.37415836611631e-12	2.736	0.6903	2.1641	2.1641	TRUE	5.4577
