# submitted_item,validated_id,current_symbol
x,FBgn0020337,anon-65Ba
FBgn0000003,FBgn0000003,7SLRNA:CR32864
FBgn0000008,FBgn0000008,a
FBgn0000014,FBgn0000014,abd-A
FBgn0000028,FBgn0000028,acj6
FBgn0000037,FBgn0000037,mAChR-A
FBgn0000039,FBgn0000039,nAChRalpha2
FBgn0000042,FBgn0000042,Act5C
FBgn0000043,FBgn0000043,Act42A
FBgn0000046,FBgn0000046,Act87E
FBgn0000061,FBgn0000061,al
FBgn0000071,FBgn0000071,Ama
FBgn0000075,FBgn0000075,amd
FBgn0000108,FBgn0000108,Appl
FBgn0000147,FBgn0000147,aurA
FBgn0000152,FBgn0000152,Axs
FBgn0000173,FBgn0000173,ben
FBgn0000179,FBgn0000179,bi
FBgn0000180,FBgn0000180,bib
FBgn0000216,FBgn0000216,Brd
FBgn0000244,FBgn0000244,by
FBgn0000253,FBgn0000253,Cam
FBgn0000259,FBgn0000259,CkIIbeta
FBgn0000273,FBgn0000273,Pka-C1
FBgn0000274,FBgn0000274,Pka-C2
FBgn0000277,FBgn0000277,CecA2
FBgn0000279,FBgn0000279,CecC
FBgn0000283,FBgn0000283,Cp190
FBgn0000286,FBgn0000286,Cf2
FBgn0000308,FBgn0000308,chic
FBgn0000316,FBgn0000316,cin
FBgn0000317,FBgn0000317,ck
FBgn0000326,FBgn0000326,clt
FBgn0000339,FBgn0000339,cni
FBgn0000382,FBgn0000382,csw
FBgn0000406,FBgn0000406,Cyt-b5-r
FBgn0000412,FBgn0000412,D1
FBgn0000416,FBgn0000416,Sap-r
FBgn0000447,FBgn0000447,Dhod
FBgn0000448,FBgn0000448,Hr3
FBgn0000449,FBgn0000449,dib
FBgn0000451,FBgn0000451,ect
FBgn0000459,FBgn0000459,disco
FBgn0000473,FBgn0000473,Cyp6a2
FBgn0000492,FBgn0000492,Dr
FBgn0000527,FBgn0000527,e
FBgn0000529,FBgn0000529,bsh
FBgn0000536,FBgn0000536,eas
FBgn0000542,FBgn0000542,ec
FBgn0000546,FBgn0000546,EcR
FBgn0000557,FBgn0000557,eEF1alpha2
FBgn0000567,FBgn0000567,Eip74EF
FBgn0000568,FBgn0000568,Eip75B
FBgn0000575,FBgn0000575,emc
FBgn0000576,FBgn0000576,ems
FBgn0000578,FBgn0000578,ena
FBgn0000591,FBgn0000591,E(spl)m8-HLH
FBgn0000592,FBgn0000592,Est-6
FBgn0000615,FBgn0000615,exu
FBgn0000625,FBgn0000625,eyg
FBgn0000636,FBgn0000636,Fas3
FBgn0000639,FBgn0000639,Fbp1
FBgn0000640,FBgn0000640,Fbp2
FBgn0000659,FBgn0000659,fkh
FBgn0000719,FBgn0000719,fog
