# submitted_item	validated_id	current_symbol
Gene	unknown ID	-
chr2L_8703792_8704176.0	unknown ID	-
chr2L_19569521_19569871.0	unknown ID	-
chr3R_13741855_13742347.0	unknown ID	-
chr2L_14086002_14086238.0	unknown ID	-
chr2R_8672578_8673094.0	unknown ID	-
chr3R_10300701_10300955.0	unknown ID	-
IP13033	FBcl0293131	IP13033
chr2R_9377823_9378188.0	unknown ID	-
cact	FBgn0000250	cact
chr3R_1917296_1917503.0	unknown ID	-
chr2L_15846923_15847417.0	unknown ID	-
chr2R_10912640_10913060.0	unknown ID	-
chr2L_18313534_18314078.0	unknown ID	-
chr2R_12193544_12194199.0	unknown ID	-
chr3L_16432902_16433603.0	unknown ID	-
chr2L_21798044_21799854.0	unknown ID	-
chr2R_17615031_17615721.0	unknown ID	-
chr3R_5867752_5868300.0	unknown ID	-
chr2L_3667472_3667893.0	unknown ID	-
chr3L_18421630_18422370.0	unknown ID	-
chr2L_11661679_11662559.0	unknown ID	-
chr2L_4334987_4335394.0	unknown ID	-
chr2L_3106943_3107159.0	unknown ID	-
chr3L_1269661_1269923.0	unknown ID	-
chr2L_11205639_11206097.0	unknown ID	-
CG4857	FBgn0026083	tyf
chr2L_21869108_21869569.0	unknown ID	-
chr2L_3268204_3268702.0	unknown ID	-
Chd1	FBgn0250786	Chd1
chr2R_18261226_18261489.0	unknown ID	-
chr2L_20918212_20918617.0	unknown ID	-
chr2L_22169643_22170188.0	unknown ID	-
chr3L_9860918_9861213.0	unknown ID	-
CG3436	FBgn0031229	CG3436
DMG4-MB6.chrX.37.001	unknown ID	-
chr2L_10785500_10786177.0	unknown ID	-
chr2L_3104100_3104562.0	unknown ID	-
chr2L_12840864_12841381.0	unknown ID	-
chr3R_23825202_23826732.0	unknown ID	-
CG13947	FBgn0031277	CG13947
chr2L_11203258_11203613.0	unknown ID	-
chr3L_22343822_22344070.0	unknown ID	-
chr2L_858412_858976.0	unknown ID	-
chr3R_23363968_23364885.0	unknown ID	-
chr2L_18795816_18796184.0	unknown ID	-
chr3L_13075247_13075793.0	unknown ID	-
chr2L_799858_800348.0	unknown ID	-
chr2L_15202262_15203746.0	unknown ID	-
MIP19007	FBcl0723097	MIP19007
CG31736	FBgn0051736	CG31736
chr3R_22864776_22865035.0	unknown ID	-
chr3R_1917917_1918207.0	unknown ID	-
chr2L_859035_859430.0	unknown ID	-
MIP22536	FBcl0740426	MIP22536
chr2L_4614013_4614300.0	unknown ID	-
chr2R_11081713_11081988.0	unknown ID	-
chr2L_8705131_8705378.0	unknown ID	-
chr3L_18057582_18057993.0	unknown ID	-
MIP20239	FBcl0723045	MIP20239
chr2L_16003730_16004250.0	unknown ID	-
chr2R_135227_135517.0	unknown ID	-
chr2L_17369533_17370064.0	unknown ID	-
chr2L_2000414_2000927.0	unknown ID	-
chr2L_17918528_17919176.0	unknown ID	-
chr2L_14496969_14498135.0	unknown ID	-
chr2L_2532935_2533689.0	unknown ID	-
chr2L_12504485_12504711.0	unknown ID	-
chr3L_15055281_15055717.0	unknown ID	-
chr2L_22923851_22925105.0	unknown ID	-
chrU_7356781_7357351.0	unknown ID	-
chr3L_10788056_10788284.0	unknown ID	-
chr2L_18400490_18401303.0	unknown ID	-
chr2L_259967_260321.0	unknown ID	-
chr2L_20947036_20948205.0	unknown ID	-
chr3L_18316644_18317098.0	unknown ID	-
chr2L_19262301_19263063.0	unknown ID	-
chr2L_5631727_5632034.0	unknown ID	-
CG3436	FBgn0031229	CG3436
chr2L_17247213_17247660.0	unknown ID	-
chr2L_6569369_6570227.0	unknown ID	-
chr3L_22413968_22414504.0	unknown ID	-
