gene,locus,sample_1,sample_2,status,value_1,value_2,log2(fold_change),test_stat,p_value,q_value,significant
CG11023,chr2L:7469-21376,warm,cold,OK,20.1931,20.6805,0.0344107,0.0634942,0.89295,0.943814,no
CR43609,chr2L:21822-25155,warm,cold,OK,1.37822,1.59402,0.209863,0.291029,0.5022,0.669147,no
"CG11374,dbr,galectin",chr2L:66583-77970,warm,cold,OK,68.2895,89.3405,0.387652,1.60588,0.00115,0.00441905,yes
Zir,chr2L:94710-102187,warm,cold,OK,10.5289,17.1832,0.706645,2.90376,5.00E-05,0.000245228,yes
CG11377,chr2L:102349-106861,warm,cold,OK,16.8778,10.2086,-0.725345,-1.41597,0.00175,0.00642791,yes
"CG11455,CG3436,Sam-S",chr2L:106902-157759,warm,cold,OK,447.286,745.766,0.737527,1.00714,0.0263,0.0675502,no
Gs1,chr2L:106902-157759,warm,cold,OK,49.3227,41.9677,-0.232972,-0.185798,0.67455,0.805697,no
CR44185,chr2L:106902-157759,warm,cold,NOTEST,0.289281,0.200305,-0.530276,0,1,1,no
CR44186,chr2L:106902-157759,warm,cold,NOTEST,0.0625492,0.141694,1.17972,0,1,1,no
CG11454,chr2L:106902-157759,warm,cold,OK,12.5339,8.03821,-0.640892,-0.179531,0.6963,0.82032,no
spen,chr2L:158923-203411,warm,cold,OK,15.7735,36.1754,1.19751,4.63125,5.00E-05,0.000245228,yes
mRpL10,chr2L:203715-250891,warm,cold,OK,24.7845,23.3391,-0.0866918,-0.0519231,0.9061,0.952178,no
Tbc1d15-17,chr2L:203715-250891,warm,cold,OK,11.0263,17.234,0.644311,0.593233,0.17545,0.31251,no
CR44220,chr2L:203715-250891,warm,cold,NOTEST,0.741603,0.614522,-0.271181,0,1,1,no
CR44222,chr2L:203715-250891,warm,cold,NOTEST,0.852478,0.705093,-0.273851,0,1,1,no
CR44221,chr2L:203715-250891,warm,cold,OK,4.23447,7.86073,0.892481,0.201272,0.7099,0.830664,no
CG13693,chr2L:203715-250891,warm,cold,OK,41.6144,42.4603,0.0290307,0.032264,0.9415,0.968746,no
CR44218,chr2L:203715-250891,warm,cold,OK,0.670411,2.27266,1.76126,0.242591,0.62255,0.768035,no
CR44219,chr2L:252588-271744,warm,cold,OK,5.66846,7.86074,0.471707,0.317141,0.5756,0.731019,no
CG3345,chr2L:252588-271744,warm,cold,OK,113.681,119.565,0.0728069,0.282928,0.51805,0.682648,no
CG11555,chr2L:273832-283319,warm,cold,OK,9.88888,11.3089,0.193576,0.27616,0.6262,0.770848,no
smo,chr2L:273832-283319,warm,cold,OK,4.36354,8.27794,0.923773,1.83336,0.0001,0.000469607,yes
CG11562,chr2L:292418-294681,warm,cold,OK,148.197,132.937,-0.156778,-0.794798,0.1881,0.328897,no
Hop,chr2L:295121-297449,warm,cold,OK,36.3258,69.6581,0.939298,4.34452,5.00E-05,0.000245228,yes
Pi3K21B,chr2L:297879-305233,warm,cold,OK,10.2186,9.32381,-0.132208,-0.478049,0.2778,0.441997,no
Plc21C,chr2L:305934-347941,warm,cold,OK,17.7618,24.2536,0.44942,0.549173,0.2243,0.37713,no
CG33127,chr2L:305934-347941,warm,cold,OK,46.1727,19.892,-1.21485,-0.795939,0.1665,0.301291,no
al,chr2L:378111-387439,warm,cold,NOTEST,0.263346,0.286977,0.123976,0,1,1,no
CR43718,chr2L:396119-396571,warm,cold,OK,7.82602,9.30727,0.250079,0.792486,0.3382,0.509498,no
